htid,recordid,oclc,locnum,author,imprint,date,place,enumcron,subjects,title,prob80precise,genrepages,totalpages,englishpct,datetype,startdate,enddate,imprintdate
uc2.ark+=13960=t8x923s18,7431948,3296354,,"Dryden, John,",London;J. Tonson;1717.,1717,enk,v.006,,"The dramatick works of John Dryden, Esq",0.85,425,520,1.0,s,1717,    ,1717
mdp.39015016768692,286729,63921177,,"Daniel, Samuel,",London;Printed for R. Gosling [etc.;1718.,1718,enk,v.1,,The poetical works of Mr. Samuel Daniel,0.71,241,416,0.999,s,1718,    ,1718
nnc1.0114778726,8401596,3553951,PR3409.D3 1718,"Dennis, John,",London;Printed by J. Darby;1718.,1718,enk,v.2,,The select works of Mr. John Dennis,0.78,349,550,1.0,s,1718,    ,1718
uc1.b2849858,7361147,22406005,,"Shakespeare, William,","London;Printed for W. Mears, etc.;1718.",1718,enk,,Richard;Drama;King of England;III;1452-1585,The tragical history of King Richard the Third,0.85,67,84,0.999,s,1718,    ,1718
njp.32101037620141,9656891,16113889,,"Suckling, John,",London;Printed for Jacob Tonson ...;1719.,1719,enk,,,The works of Sir John Suckling,0.75,266,446,0.999,s,1719,    ,1719
nyp.33433074907464,8663346,2295681,,"Rowe, Nicholas,",London;T. Jauncy;1720.,1720,enk,v. 1,English drama,The dramatick works of Nicholas Rowe,0.91,350,384,1.0,s,1720,    ,1720
uc1.$b387389,1366996,79309,,"Betterton, Thomas,",London;Cornmarket P.;1969.,1721,enk,,,"The sequel of Henry IV, 1721",0.87,88,104,0.999,s,1721,    ,1969
uc2.ark+=13960=t22b98w4q,7697653,5530601,,"Cibber, Colley,",London;Printed for Jacob Tonson;Bernard Lintot;William Mears;William Chetwood;1721.,1721,enk,v.2,,Plays,0.92,450,488,1.0,s,1721,    ,1721
njp.32101036894697,9471916,16084274,,"Young, Edward,",London;Printed for J. Tonson ...;1722.,1722,enk,,,"Busiris, King of Egypt",0.85,75,94,1.0,s,1722,    ,1722
nnc1.0114404630,8401507,505761038,,"Howard, Robert,",London;1722.,1722,enk,,,The vestal virgin,0.87,73,88,1.0,s,1722,    ,1722
nnc1.0315301052,8402448,83867665,,"Lee, Nathaniel,",London;Printed for M. P. and sold by A. Bettesworth and F. Clay;1722.,1722,enk,v.2,,Plays written by Mr. Nathaniel Lee,0.92,335,354,1.0,s,1722,    ,1722
nyp.33433067303457,1420513,5473132,,"Jacob, Hildebrand,",London;Printed by J. Tonson;1723.,1723,enk,,,The fatal constancy,0.84,58,78,0.995,s,1723,    ,1723
hvd.ht17xc,9707833,12010874,,"Dryden, John,",London;1724.,1724,enk,,,Oedipus,0.87,82,96,1.0,s,1724,    ,1724
njp.32101036892808,1422056,23630775,,"Motteux, Peter Anthony,",London;Printed by J. Darby for M. Poulson [etc.;1724.,1724,enk,,,The island princess;,0.8,70,98,0.999,s,1724,    ,1724
njp.32101037716006,9472231,17828706,,"Behn, Aphra,","London;Printed for M. Poulson, and sold by A. Bettesworth;1724.",1724,enk,v.4,,Plays,0.94,416,428,1.0,s,1724,    ,1724
njp.32101037716014,9472231,17828706,,"Behn, Aphra,","London;Printed for M. Poulson, and sold by A. Bettesworth;1724.",1724,enk,v.3,,Plays,0.93,342,358,1.0,s,1724,    ,1724
njp.32101037716022,9472231,17828706,,"Behn, Aphra,","London;Printed for M. Poulson, and sold by A. Bettesworth;1724.",1724,enk,v.2,,Plays,0.94,356,370,1.0,s,1724,    ,1724
nnc1.0069264430,8400977,4562031,,"Philips, Ambrose,","London;T. Woodward, J. Walthoe, and J. Peele;1725.",1725,enk,,1391-1447;Duke of Gloucester;Drama;Humphrey,"Humfrey, duke of Gloucester, a tragedy",0.81,108,148,1.0,s,1725,    ,1725
nnc1.cu54659744,8428262,81809116,,"Philips, Ambrose,",London;Printed for T. Woodward;1725.,1725,enk,,,The Briton,0.88,92,104,1.0,s,1725,    ,1725
uva.x000593970,9775430,703506129,PR1241.L6 vol 39,"Odingsells,",London;Printed and sold by J. Walthoe;1725.,1725,enk,,,The Bath unmask'd,0.88,90,102,1.0,s,1725,    ,1725
hvd.hxpeu3,9714593,13596750,,Terence.,London;Printed for Jonah Bowyer ...;1726.,1726,enk,,"Quotations, Latin;Conversation and phrase books;Latin language","Elegantiae Terentianae, or The phrases of Terence",0.79,216,234,0.998,s,1726,    ,1726
hvd.ht17xb,9707811,7921758,,"Dryden, John,","London;Printed for J. Darby ..., A. Bettesworth..., and F. Clay ...; all in trust for Richard, James, and Bethel Wellington: and sold also by Ri. Caldwell ...;1727.",1727,enk,,,Oedipus,0.84,84,102,1.0,s,1727,    ,1727
njp.32101036894101,9472237,7096485,,"Welsted,",Dublin;Printed for R. Gunne;1727?,1727,ie ,,,The dissembled wanton;,0.81,86,112,0.999,s,1727,    ,1727
nnc1.0038501031,1022218,2487220,PR1241.L6 vol.31,"Frowde, Philip,","London;Printed for J. Crokatt and T. Wood, and sold by J. Roberts;1727.",1727,enk,,"Siege, 219-218 B.C;History;Sagunto (Spain);Drama",The fall of Saguntum,0.84,62,78,1.0,s,1727,    ,1727
uc2.ark+=13960=t11n80b7t,1022218,2487220,PR1241.L6 vol.31,"Frowde, Philip,","London;Printed for J. Crokatt and T. Wood, and sold by J. Roberts;1727.",1727,enk,,"Siege, 219-218 B.C;History;Sagunto (Spain);Drama",The fall of Saguntum,0.85,64,80,1.0,s,1727,    ,1727
hvd.32044082534330,9706477,236020997,,"Shakespeare, William,",London;1728.,1728,|||,v.7,,Works of William Shakespeare,0.89,364,380,1.0,s,1728,    ,1728
hvd.hn3bb3,9713429,4727038,,"Otway, Thomas,",London;Printed for J. Tonson;1728.,1728,enk,v.2,,The works of Mr. Thomas Otway,0.85,333,404,1.0,s,1728,    ,1728
hvd.hn3bb4,9713429,4727038,,"Otway, Thomas,",London;Printed for J. Tonson;1728.,1728,enk,v.1,,The works of Mr. Thomas Otway,0.88,397,434,1.0,s,1728,    ,1728
njp.32101037621164,1019833,1534773,ML50.5.W25,"Walker, Thomas,",London;Printed for J. W. and sold by J. Roberts [etc.;1728.,1728,enk,,,The Quaker's opera,0.81,50,68,1.0,s,1728,    ,1728
hvd.hn389r,9712024,6807101,,"Jonson, Ben,","Dublin;Printed by S. Powell, for George Risk, George Ewing, and William Smith;1729.",1729,ie ,v.1,,Ben Johnson's [!] plays,0.93,388,404,1.0,s,1729,    ,1729
hvd.hn657q,9714614,6960729,,Terence,"London;Printed for J. Knapton, R. Knaplock, J. and B. Sprint, D. Midwinter, A. Bettesworth, W. Innys, J. Osborn and T. Longman, R. Robinson, B. Motte, and A. Ward;1729.",1729,enk,,,Terence's comedies made English,0.86,301,374,1.0,r,1729,1694,1729
hvd.ht17xd,9707549,11675557,,"Bullock, Christopher,","London;Printed for A. Bettesworth, W. Mears, T. Woodward;1729.",1729,enk,,,Woman is a riddle,0.85,77,96,1.0,s,1729,    ,1729
uc1.31822010859841,1022284,5378406,PR1241.L6 vol. 33,"Hawker, Essex,",London;Printed for W. Mears and sold by S. Birt;1729.,1729,enk,,,The wedding,0.68,34,58,0.998,s,1729,    ,1729
uc1.31822011784782,8705409,2785173,,"Chetwood, W. R.",London;A. Dodd;1729,1729,enk,,Ballad operas;Librettos,The lover's opera,0.79,40,56,1.0,s,1729,    ,1729
njp.32101064751702,1022978,1534711,ML50.5.Q91,"Walker, Thomas,",London;J. Watts;1730.,1730,enk,,,The fate of villany,0.84,77,94,1.0,s,1730,    ,1730
hvd.ht12wc,9709622,23641825,,"Wycherley, William,","London;Printed for B. Motte, J. Poulson, and R., J., and B. Wellington;1731.",1731,enk,,,"Plays written by Mr. William Wycherley. Containing The plain dealer, The country wife, Gentleman dancing master, Love in a wood",0.93,446,464,1.0,s,1731,    ,1731
uc2.ark+=13960=t48p6040b,1022442,2698163,PR 3545 M4E89 1731,"Mallet, David,",London;A. Millar;1731.,1731,enk,,,Eurydice;,0.87,84,96,1.0,s,1731,    ,1731
uva.x000445348,1022965,1521963,PR1241.L6 vol.18,"Tracy, John,",London;J. Watts;1731.,1731,enk,,625 B.C.-585 B.C;Tyrant of Corinth;Periander,Periander,0.84,68,88,1.0,s,1731,    ,1731
mdp.39015068314361,783389,23638124,,"Bullock, Christopher,",London;Printed for W. Mears;1732.,1732,enk,,,The per-juror,0.76,33,43,1.0,s,1732,    ,1732
njp.32101037023601,592397,23631625,PR3539.L4 1732,"Lansdowne, George Granville,",London;J. Tonson [etc.;1732.,1732,enk,v.2,,"The genuine works in verse and prose, of the Right Honourable George Granville, lord Lansdowne",0.79,223,362,1.0,s,1732,    ,1732
uc1.31822010880284,8705385,5308721,,"Cokain, Aston,",London;C. Corbett;1732,1732,enk,,,The devil of a duke,0.76,48,80,0.998,s,1732,    ,1732
hvd.32044082535402,9708150,2166392,,"Shakespeare, William,",London;Printed for A. Bettesworth and C. Hitch [etc.;1733.,1733,enk,v.4,,The works of Shakespeare in seven volumes,0.89,508,526,0.998,s,1733,    ,1733
hvd.32044082535410,9708150,2166392,,"Shakespeare, William,",London;Printed for A. Bettesworth and C. Hitch [etc.;1733.,1733,enk,v.2,,The works of Shakespeare in seven volumes,0.9,535,548,1.0,s,1733,    ,1733
hvd.32044082535428,9708150,2166392,,"Shakespeare, William,",London;Printed for A. Bettesworth and C. Hitch [etc.;1733.,1733,enk,v.3,,The works of Shakespeare in seven volumes,0.9,541,554,1.0,s,1733,    ,1733
hvd.32044082535436,9708150,2166392,,"Shakespeare, William,",London;Printed for A. Bettesworth and C. Hitch [etc.;1733.,1733,enk,v.7,,The works of Shakespeare in seven volumes,0.89,495,522,1.0,s,1733,    ,1733
hvd.32044082535444,9708150,2166392,,"Shakespeare, William,",London;Printed for A. Bettesworth and C. Hitch [etc.;1733.,1733,enk,v.6,,The works of Shakespeare in seven volumes,0.9,463,478,1.0,s,1733,    ,1733
hvd.32044082535451,9708150,2166392,,"Shakespeare, William,",London;Printed for A. Bettesworth and C. Hitch [etc.;1733.,1733,enk,v.1,,The works of Shakespeare in seven volumes,0.85,482,596,0.998,s,1733,    ,1733
hvd.32044094974490,9708150,2166392,,"Shakespeare, William,",London;Printed for A. Bettesworth and C. Hitch [etc.;1733.,1733,enk,v.5,,The works of Shakespeare in seven volumes,0.9,471,484,1.0,s,1733,    ,1733
mdp.39015062946101,1810228,68166851,,Terence.,London;Printed for J.J. and P. Knapton [etc.;1733.,1733,enk,,,Terence's Comedies made English,0.85,303,376,1.0,s,1733,    ,1733
njp.32101036892154,1420267,6783157,,"Havard,",London;Printed for J. Watts;1733.,1733,enk,,Scanderbeg;1405?-1468;Drama,Scanderbeg,0.85,81,96,1.0,s,1733,    ,1733
uc1.31822011768777,8705408,2813641,PR1241.L6 vol. 50,"Drury, Robert,",London;C. Corbett;1733,1733,enk,,Ballad operas;Librettos,The mad captain,0.82,52,66,1.0,s,1733,    ,1733
nnc1.cu53336887,8426840,43863063,,"Vanbrugh, John,",London;J. Watts;1734.,1734,   ,,,The Cornish squire,0.78,62,84,0.999,s,1734,    ,1734
njp.32101036892618,9472062,4959674,,"Otway, Thomas,",London;Printed for D. Browne;1735.,1735,enk,,,Alcibiades,0.88,67,78,1.0,s,1735,    ,1735
njp.32101037019716,9471439,20853630,PR3395.D43C65 1738PR3549.M6,"Miller, James,",London;Printed for John Watts ...;1735.,1735,enk,,,The man of taste,0.85,89,108,1.0,s,1735,    ,1735
njp.32101037603600,9472403,11878276,,"Crown,",London;Printed for W. Feales [and others;1735.,1735,enk,,,"Sir Courtly Nice: or, It cannot be;",0.9,95,126,0.999,s,1735,    ,1735
njp.32101037604566,9472008,7868790,PR3437.C6 1735,"Farquhar, George,","London;Printed for J. Clarke, and sold by W. Feales;1735.",1735,enk,,,"The constant couple: or, A trip to the jubilee",0.87,96,114,1.0,s,1735,    ,1735
njp.32101037621081,9472022,1507104,PR1241.L6 vol. 77,"Taverner,",London;W. Feales [etc.;1735.,1735,enk,,,The artful husband,0.87,91,108,0.999,s,1735,    ,1735
njp.32101068156296,8967997,14033059,,"Rowe, Nicholas,",London;Printed for W. Feales;1735,1735,enk,,,The ambitious step-mother,0.8,106,148,1.0,s,1735,    ,1735
njp.32101073245464,9012258,21934732,,"Otway, Thomas,",London;Printed for W. Feales;1735.,1735,enk,,,"The orphan, or, The unhappy marriage",0.88,80,88,1.0,s,1735,    ,1735
mdp.39015063755428,784429,23638308,,"Farquhar, George,",London;Printed for B. Lintot [etc.;1736.,1736,enk,v.2,,The dramatick works of Mr. George Farquhar,0.89,347,365,1.0,s,1736,    ,1736
mdp.39015063755436,784429,23638308,,"Farquhar, George,",London;Printed for B. Lintot [etc.;1736.,1736,enk,v.1,,The dramatick works of Mr. George Farquhar,0.86,313,352,0.999,s,1736,    ,1736
njp.32101036892600,9472061,10769336,,"Otway, Thomas,",London;Printed for J. Tonson ...;1736.,1736,enk,,,Friendship in fashion,0.88,103,116,1.0,s,1736,    ,1736
njp.32101037569330,9472132,10854095,,"Shadwell, Thomas,",London;Printed for W. Feales ...;1736.,1736,enk,,,"The history of Timon of Athens, the man-hater",0.87,86,104,1.0,s,1736,    ,1736
njp.32101037603733,1004600,11850215,PR1241.L6 vol. 276,"Conolly,",London;R. Wellington;1736.,1736,enk,,,The connoisseur;,0.86,89,104,1.0,s,1736,    ,1736
njp.32101037604533,9472196,7922184,,"Farquhar, George,",London;Printed for Bernard Lintot; and sold by W. Feales ...;1736.,1736,enk,,,The twin-rivals,0.85,87,114,1.0,s,1736,    ,1736
njp.32101037604541,9472407,12118123,,"Farquhar, George,",London;Printed for J. Knapton and sold by W. Feales;1736.,1736,enk,,,The inconstant;,0.85,81,102,1.0,s,1736,    ,1736
nnc1.0043198570,8400031,8813962,,"Gay, John,",London;Printed for H. Lintot;1736.,1736,enk,,,The what d'ye call it,0.79,34,56,1.0,s,1736,    ,1736
nnc1.cu54812585,8428286,506139742,PR3454.P3 1736,"Fielding, Henry,",London;Printed for J. Watts at the printing-office in Wild-Court near Lincoln's Inn Fields;1736.,1736,enk,,,Pasquin,0.7,65,84,0.998,s,1736,    ,1736
uc2.ark+=13960=t3125rj4q,7657870,2851574,,"Dodsley, Robert,","London;Printed for the author, at Tully's Head, Pall-Mall; and sold by T. Cooper, at the Globe in Pater-Noster Row;1737.",1737,enk,,,The king and the miller of Mansfield,0.82,45,56,0.999,s,1737,    ,1737
uva.x000886665,9787859,30123383,,"Cibber, Colley,",Dublin;George Fallkner;1737.,1737,ie ,,,Damon and Phillida,0.79,21,30,1.0,s,1737,    ,1737
mdp.39015030942984,1022463,2935084,PR1241.L6 vol. 51,"Miller, James,",London;J. Watts;1738.,1738,enk,,,Art and nature,0.86,84,104,1.0,s,1738,    ,1738
njp.32101037605704,1022341,12767114,PR1241.L6 vol. 57,"Jacob, Hildebrand,","London;Printed for the author, and sold by W. Lewis;1738.",1738,enk,,,The nest of plays;,0.89,65,80,1.0,s,1738,    ,1738
mdp.39015029414953,261971,1517359,PR3732.E3 1739,"Thomson, James,","London;Printed for the author, and sold by A. Millar;1739.",1739,enk,,"King of England;d. 1290;Drama;I;1239-1307;Edward;Eleanor;Queen, consort of Edward I, King of England",Edward and Eleonora,0.84,70,86,1.0,s,1739,    ,1739
njp.32101037604418,1019454,2851587,PR1241.L6 vol. 60,"Brown, Anthony,",London;T. Osborn;1739.,1739,enk,,,The fatal retirement,0.81,100,128,1.0,s,1739,    ,1739
nnc1.0315301648,1421037,2955042,,"Miller, James,",London;J. Watts;1739.,1739,enk,,,An hospital for fools,0.75,33,48,1.0,s,1739,    ,1739
pst.000006521103,1022443,5278387,PR 3545 M4M99 1739,"Mallet, David,",London;A. Millar;1739.,1739,enk,,,Mustapha;,0.87,85,100,1.0,s,1739,    ,1739
uc2.ark+=13960=t6xw4979h,7653890,320055715,,"Brooke, Henry,",London;T. Davies;1739,1739,enk,,,Brooke's & Browne's plays,0.91,333,374,0.999, ,1739,    ,1739
hvd.32044009766841,4127556,4550358,,"Shakespeare, William,","London;Printed for H. Lintott, C. Hitch, J. and R. Tonson, C. Corbet, R. and B. Wellington, J. Brindley, and E. New;1740.",1740,enk,v.4,,The works of Shakespeare,0.88,466,488,0.995,s,1740,    ,1740
hvd.32044009766858,4127556,4550358,,"Shakespeare, William,","London;Printed for H. Lintott, C. Hitch, J. and R. Tonson, C. Corbet, R. and B. Wellington, J. Brindley, and E. New;1740.",1740,enk,v.5,,The works of Shakespeare,0.89,410,432,1.0,s,1740,    ,1740
hvd.32044083479790,4127556,4550358,,"Shakespeare, William,","London;Printed for H. Lintott, C. Hitch, J. and R. Tonson, C. Corbet, R. and B. Wellington, J. Brindley, and E. New;1740.",1740,enk,v.7,,The works of Shakespeare,0.9,423,440,1.0,s,1740,    ,1740
hvd.32044083479808,4127556,4550358,,"Shakespeare, William,","London;Printed for H. Lintott, C. Hitch, J. and R. Tonson, C. Corbet, R. and B. Wellington, J. Brindley, and E. New;1740.",1740,enk,v.3,,The works of Shakespeare,0.9,414,428,1.0,s,1740,    ,1740
hvd.32044083479816,4127556,4550358,,"Shakespeare, William,","London;Printed for H. Lintott, C. Hitch, J. and R. Tonson, C. Corbet, R. and B. Wellington, J. Brindley, and E. New;1740.",1740,enk,v.6,,The works of Shakespeare,0.9,470,490,1.0,s,1740,    ,1740
hvd.32044083479824,4127556,4550358,,"Shakespeare, William,","London;Printed for H. Lintott, C. Hitch, J. and R. Tonson, C. Corbet, R. and B. Wellington, J. Brindley, and E. New;1740.",1740,enk,v.8,,The works of Shakespeare,0.84,353,446,1.0,s,1740,    ,1740
hvd.32044083479832,4127556,4550358,,"Shakespeare, William,","London;Printed for H. Lintott, C. Hitch, J. and R. Tonson, C. Corbet, R. and B. Wellington, J. Brindley, and E. New;1740.",1740,enk,v.2,,The works of Shakespeare,0.89,434,454,1.0,s,1740,    ,1740
hvd.32044083479840,4127556,4550358,,"Shakespeare, William,","London;Printed for H. Lintott, C. Hitch, J. and R. Tonson, C. Corbet, R. and B. Wellington, J. Brindley, and E. New;1740.",1740,enk,v.1,,The works of Shakespeare,0.86,387,454,1.0,s,1740,    ,1740
mdp.39015060429837,778703,2939171,,"Buckingham, John Sheffield,",London;Printed for T. Wotton [et al;1740.,1740,enk,v.1,History;Great Britain;Revolution of 1688,The works of John Sheffield,0.72,196,432,0.998,s,1740,    ,1740
nyp.33433067303465,1019309,12831637,PR1241.L6 vol.104,,London;J. Roberts;1743.,1743,enk,,Whist;Drama,The Humours of whist,0.81,54,72,1.0,s,1743,    ,1743
mdp.39015063512274,667120,5161265,PR3409.D7T7,"Dodsley, Robert,",London;At Tully's Head;1745.,1745,enk,,,Trifles,0.67,145,361,1.0,s,1745,    ,1745
nnc1.cu53341627,8426957,43863459,,"Le Sage, Alain René,","Cambridge, [England;1745.",1745,enk,,,Une journée des parques,0.75,47,68,0.976,s,1745,    ,1745
mdp.39015009239321,478530,23642369,,"Martin, Benjamin,","reading;Printed by C. Micklewright & co. for the author [etc., etc.;1747.",1747,mau,atlas,"Science;Sir;Early works to 1800;Newton, Isaac;1642-1727","Philosophia britannica: or, A new & comprehensive system of the Newtonian philosophy, astronomy & geomgraphy",0.68,117,203,1.0,s,1747,    ,1747
uc2.ark+=13960=t0zp3x104,4127599,1066168,,"Shakespeare, William,","London;Printed for J. and P. Knapton, S. Birt, T. Longman and T. Shewell, H. Lintott, C. Hitch, J. Brindley, J. and R. Tonson and S. Draper, R. Wellington, E. New, and B. Dod;1747.",1747,enk,v.3,,The works of Shakespear,0.9,477,494,1.0,s,1747,    ,1747
uc2.ark+=13960=t4hm53z1x,4127599,1066168,,"Shakespeare, William,","London;Printed for J. and P. Knapton, S. Birt, T. Longman and T. Shewell, H. Lintott, C. Hitch, J. Brindley, J. and R. Tonson and S. Draper, R. Wellington, E. New, and B. Dod;1747.",1747,enk,v.6,,The works of Shakespear,0.9,559,574,1.0,s,1747,    ,1747
uc2.ark+=13960=t9g44kc8b,4127599,1066168,,"Shakespeare, William,","London;Printed for J. and P. Knapton, S. Birt, T. Longman and T. Shewell, H. Lintott, C. Hitch, J. Brindley, J. and R. Tonson and S. Draper, R. Wellington, E. New, and B. Dod;1747.",1747,enk,v.5,,The works of Shakespear,0.88,451,478,1.0,s,1747,    ,1747
dul1.ark+=13960=t1mg8hh6b,8663172,2742080,PR2421.T45 1750,"Beaumont, Francis,",London;Printed for J. and R. Tonson and S. Draper;1750.,1750,enk,v.4,,The works of Francis Beaumont and John Fletcher,0.93,461,478,1.0,s,1750,    ,1750
dul1.ark+=13960=t22b9x494,8663172,2742080,PR2421.T45 1750,"Beaumont, Francis,",London;Printed for J. and R. Tonson and S. Draper;1750.,1750,enk,v.9,,The works of Francis Beaumont and John Fletcher,0.93,500,518,1.0,s,1750,    ,1750
dul1.ark+=13960=t3417vt99,8663172,2742080,PR2421.T45 1750,"Beaumont, Francis,",London;Printed for J. and R. Tonson and S. Draper;1750.,1750,enk,v.10,,The works of Francis Beaumont and John Fletcher,0.93,558,584,1.0,s,1750,    ,1750
dul1.ark+=13960=t48p6x688,8663172,2742080,PR2421.T45 1750,"Beaumont, Francis,",London;Printed for J. and R. Tonson and S. Draper;1750.,1750,enk,v.5,,The works of Francis Beaumont and John Fletcher,0.94,528,544,1.0,s,1750,    ,1750
dul1.ark+=13960=t4rj5bp7m,8663172,2742080,PR2421.T45 1750,"Beaumont, Francis,",London;Printed for J. and R. Tonson and S. Draper;1750.,1750,enk,v.3,,The works of Francis Beaumont and John Fletcher,0.93,471,486,1.0,s,1750,    ,1750
dul1.ark+=13960=t77s8kw4g,8663172,2742080,PR2421.T45 1750,"Beaumont, Francis,",London;Printed for J. and R. Tonson and S. Draper;1750.,1750,enk,v.6,,The works of Francis Beaumont and John Fletcher,0.94,439,454,1.0,s,1750,    ,1750
dul1.ark+=13960=t89g6jk42,8663172,2742080,PR2421.T45 1750,"Beaumont, Francis,",London;Printed for J. and R. Tonson and S. Draper;1750.,1750,enk,v.8,,The works of Francis Beaumont and John Fletcher,0.93,444,462,1.0,s,1750,    ,1750
inu.32000005271327,1112367,7956263,PR1241.L6 vol. 34,"Whitehead, William,","London;Printed for R. Dodsley, and sold by M. Cooper;1750.",1750,enk,,Horatii;Drama,The Roman father,0.86,87,104,0.999,s,1750,    ,1750
mdp.39015035813768,320709,10238853,,"Muilman, Teresia Constantia,",London;Printed for the author;1750.,1750,enk,,"Earl of;Chesterfield, Philip Dormer Stanhope;Women;1694-1773;Social and moral questions",A letter humbly address'd to the Right Honourable the Earl of Chesterfield,0.83,134,172,0.997,s,1750,    ,1750
njp.32101067567824,8959931,28782814,,"Beaumont, Francis,",London;Printed for J. and R. Tonson and S. Draper;1750.,1750,enk,vol. 1,,"The works of Francis Beaumont, and Mr. John Fletcher",0.81,388,560,1.0,s,1750,    ,1750
njp.32101067568004,8959931,28782814,,"Beaumont, Francis,",London;Printed for J. and R. Tonson and S. Draper;1750.,1750,enk,vol. 10,,"The works of Francis Beaumont, and Mr. John Fletcher",0.89,560,582,1.0,s,1750,    ,1750
